id,title,category,content,source,word_count
DOC039,Text Classification and Sentiment Analysis,Natural Language Processing,"Text classification assigns documents to categories, and sentiment analysis determines whether the opinion expressed in a text is positive, negative or neutral.",Technical Manual,22
DOC040,Question Answering Systems,Natural Language Processing,"Question answering systems retrieve or generate an answer to a natural language question, either by extracting a span from a passage or by generating free text.",Course Handout,26
DOC041,Introduction to Information Retrieval,Information Retrieval,Information retrieval is the process of finding relevant information from a large collection of documents in response to a user's stated information need.,Lecture Notes,23
DOC042,Inverted Index Construction,Information Retrieval,"An inverted index maps every term to a posting list of documents that contain it, enabling fast lookup and intersection during query processing.",Reference Textbook,23
DOC043,Boolean Retrieval Model,Information Retrieval,"The boolean model treats a query as a logical expression over terms and returns the set of documents that exactly satisfy the expression, without ranking.",Survey Paper,25
DOC044,Vector Space Model and TF-IDF,Information Retrieval,"The vector space model represents documents as weighted term vectors, where TF-IDF raises the weight of terms that are frequent locally but rare across the collection.",Technical Manual,26
DOC045,BM25 Ranking Function,Information Retrieval,"BM25 is a probabilistic ranking function that scores documents using term frequency saturation and document length normalisation, and remains a strong lexical baseline.",Course Handout,23
DOC046,Dense Retrieval and Semantic Search,Information Retrieval,"Dense retrieval encodes queries and documents as embeddings and ranks by vector similarity, retrieving relevant results even when no query term appears in the document.",Lecture Notes,25
DOC047,Cosine Similarity in Retrieval,Information Retrieval,"Cosine similarity measures the angle between two vectors, giving a score near one for texts with similar meaning and near zero for unrelated texts.",Reference Textbook,24
DOC048,Evaluation of Retrieval Systems,Information Retrieval,"Retrieval quality is measured with precision, recall, mean average precision and normalised discounted cumulative gain computed against human relevance judgements.",Survey Paper,20
DOC049,Query Expansion and Relevance Feedback,Information Retrieval,"Query expansion adds related terms from a thesaurus, an embedding space or the top ranked results in order to reduce vocabulary mismatch.",Technical Manual,22
DOC050,Hybrid and Re-ranking Pipelines,Information Retrieval,"Hybrid search merges lexical and dense candidate lists, then applies a cross encoder re-ranker to the shortlist to improve the quality of the final ordering.",Course Handout,25
DOC051,Introduction to Computer Networks,Computer Networks,Computer networks allow multiple devices to communicate and share resources using agreed communication protocols such as the TCP/IP protocol suite.,Lecture Notes,20
DOC052,OSI Reference Model,Computer Networks,"The OSI model organises communication into seven layers, from physical transmission up to the application layer, each offering services to the layer above.",Reference Textbook,23
DOC053,TCP and UDP Transport Protocols,Computer Networks,"TCP provides reliable, ordered, connection oriented delivery with flow and congestion control, while UDP offers lightweight connectionless datagram service.",Survey Paper,19
DOC054,IP Addressing and Subnetting,Computer Networks,"IP addressing identifies hosts on a network, and subnetting divides an address block into smaller networks using a mask to separate network and host portions.",Technical Manual,25
DOC055,Routing Algorithms,Computer Networks,"Routing protocols use distance vector or link state algorithms to compute forwarding paths, with OSPF operating inside an autonomous system and BGP between them.",Course Handout,24
DOC056,Network Security Protocols,Computer Networks,"TLS, IPSec and SSH protect data in transit using encryption, message authentication codes and certificate based authentication of the communicating endpoints.",Lecture Notes,21
DOC057,Wireless and Mobile Networks,Computer Networks,"Wireless networks transmit over a shared radio medium and must handle interference, attenuation, mobility and handover between access points or base stations.",Reference Textbook,22
DOC058,Domain Name System,Computer Networks,The domain name system resolves human readable names into IP addresses through a hierarchy of authoritative and caching resolvers distributed worldwide.,Survey Paper,21
DOC059,Congestion Control and Quality of Service,Computer Networks,"Congestion control adjusts sending rate in response to loss or delay signals, while quality of service mechanisms prioritise traffic that is sensitive to latency.",Technical Manual,24
DOC060,Software Defined Networking,Computer Networks,"Software defined networking separates the control plane from the data plane, allowing a central controller to program forwarding behaviour through open interfaces.",Course Handout,22
DOC061,Introduction to Operating Systems,Operating Systems,An operating system manages computer hardware and software resources and provides common services and abstractions to application programs.,Lecture Notes,18
DOC062,Process Management and Scheduling,Operating Systems,"The scheduler decides which ready process runs next using policies such as round robin, shortest job first and multilevel feedback queues.",Reference Textbook,21
DOC063,Threads and Concurrency,Operating Systems,"Threads share an address space within a process, enabling parallelism but requiring synchronisation to avoid race conditions on shared data.",Survey Paper,20
DOC064,Deadlock Detection and Prevention,Operating Systems,"Deadlock occurs when processes hold resources and wait circularly, and is handled by prevention, avoidance with the banker's algorithm, or detection and recovery.",Technical Manual,23
DOC065,Memory Management and Paging,Operating Systems,"Paging divides memory into fixed size frames and maps virtual pages onto them, using a page table and translation lookaside buffer for fast address translation.",Course Handout,25
DOC066,Virtual Memory and Page Replacement,Operating Systems,"Virtual memory lets a process use more address space than physical memory, with replacement policies such as LRU and clock deciding which page to evict on a fault.",Lecture Notes,28
DOC067,File Systems and Directory Structures,Operating Systems,"A file system organises data into files and directories and tracks allocation with inodes, extents or allocation tables while enforcing access permissions.",Reference Textbook,22
DOC068,Input Output and Device Management,Operating Systems,"The operating system mediates access to devices through drivers, interrupts and buffering, hiding hardware differences behind a uniform interface.",Survey Paper,19
DOC069,Synchronization Primitives,Operating Systems,"Semaphores, mutexes, condition variables and monitors coordinate concurrent threads and protect critical sections from simultaneous access.",Technical Manual,16
DOC070,Virtualization and Containers,Operating Systems,"Hypervisors run multiple virtual machines on one host, while containers share the host kernel and isolate processes using namespaces and control groups.",Course Handout,22
DOC071,Introduction to Database Management Systems,Database Management,"A database management system is software used to store, organise, retrieve and manage structured data efficiently while enforcing integrity and access control.",Lecture Notes,22
DOC072,Relational Data Model,Database Management,"The relational model represents data as tables of tuples, with keys expressing identity and relationships and relational algebra defining the query operations.",Reference Textbook,22
DOC073,Structured Query Language,Database Management,"SQL is a declarative language for defining, querying and modifying relational data, combining selection, projection, joins, grouping and aggregation.",Survey Paper,19
DOC074,Normalization and Database Design,Database Management,"Normalisation decomposes relations to remove redundancy and update anomalies, progressing through first, second, third and Boyce-Codd normal forms.",Technical Manual,18
DOC075,Indexing and Query Optimization,Database Management,"Indexes such as B-trees and hash indexes speed up lookups, and the query optimiser chooses an execution plan using cost estimates and table statistics.",Course Handout,24
DOC076,Transactions and ACID Properties,Database Management,"A transaction is an atomic unit of work that preserves consistency, runs in isolation from concurrent transactions and durably records its effects.",Lecture Notes,22
DOC077,Concurrency Control,Database Management,"Locking protocols, timestamp ordering and multiversion concurrency control allow transactions to run in parallel while preserving serialisable behaviour.",Reference Textbook,18
DOC078,NoSQL Databases,Database Management,"NoSQL systems store key-value pairs, documents, wide columns or graphs, trading strict schemas and joins for horizontal scalability and flexible data models.",Survey Paper,22
DOC079,Vector Databases,Database Management,"Vector databases store numerical embeddings and support approximate nearest neighbour search for recommendation systems, semantic search and retrieval augmented generation.",Technical Manual,20
DOC080,Data Warehousing and OLAP,Database Management,A data warehouse integrates historical data into star or snowflake schemas so that analytical queries can aggregate across many dimensions efficiently.,Course Handout,21
DOC081,Introduction to Cloud Computing,Cloud Computing,"Cloud computing provides on-demand access to computing resources such as servers, storage, databases and networking over the internet with pay per use billing.",Lecture Notes,23
DOC082,Service Models IaaS PaaS SaaS,Cloud Computing,"Infrastructure, platform and software as a service differ in how much of the stack the provider manages and how much control remains with the customer.",Reference Textbook,25
DOC083,Deployment Models,Cloud Computing,"Public, private, hybrid and community clouds differ in ownership and tenancy, balancing cost and elasticity against control and regulatory requirements.",Survey Paper,20
DOC084,Virtual Machines and Hypervisors,Cloud Computing,Cloud providers allocate virtual machines through hypervisors that partition physical servers and isolate tenants from one another.,Technical Manual,17
DOC085,Containers and Orchestration,Cloud Computing,"Container orchestration platforms such as Kubernetes schedule containers across a cluster and handle scaling, service discovery and rolling updates.",Course Handout,19
DOC086,Serverless Computing,Cloud Computing,"Serverless platforms run functions in response to events and bill only for execution time, removing the need to provision or manage servers explicitly.",Lecture Notes,23
DOC087,Cloud Storage Systems,Cloud Computing,"Object, block and file storage services offer durable, replicated storage with different consistency guarantees and access patterns.",Reference Textbook,17
DOC088,Load Balancing and Auto Scaling,Cloud Computing,"Load balancers distribute requests across healthy instances, while auto scaling adds or removes capacity according to demand or scheduled policies.",Survey Paper,20
DOC089,Cloud Security and Identity Management,Cloud Computing,"Cloud security relies on the shared responsibility model, identity and access management policies, encryption at rest and in transit, and continuous auditing.",Technical Manual,22
DOC090,Edge and Fog Computing,Cloud Computing,"Edge computing moves processing close to where data is produced to reduce latency and bandwidth use, complementing centralised cloud data centres.",Course Handout,21
DOC091,Introduction to Cyber Security,Cybersecurity,"Cyber security protects computer systems, networks and data from unauthorised access, attacks and threats to confidentiality, integrity and availability.",Lecture Notes,19
DOC092,Symmetric and Asymmetric Cryptography,Cybersecurity,"Symmetric ciphers use one shared key for encryption and decryption, while public key cryptography uses a key pair to enable secure exchange and digital signatures.",Reference Textbook,25
DOC093,Hash Functions and Digital Signatures,Cybersecurity,"Cryptographic hash functions produce a fixed length digest that is hard to invert, and digital signatures bind a message to the identity of its signer.",Survey Paper,25
DOC094,Authentication and Access Control,Cybersecurity,"Authentication verifies identity through passwords, tokens or biometrics, while access control models decide which subjects may act on which objects.",Technical Manual,20
DOC095,Network Attacks and Defences,Cybersecurity,"Firewalls, intrusion detection systems and segmentation defend against scanning, spoofing, denial of service and lateral movement inside a network.",Course Handout,19
DOC096,Malware Analysis,Cybersecurity,"Malware analysis studies viruses, worms, trojans and ransomware through static inspection and dynamic execution in a sandbox to derive detection signatures.",Lecture Notes,21
DOC097,Web Application Security,Cybersecurity,"Injection, cross site scripting, broken authentication and insecure deserialisation are common web vulnerabilities mitigated by validation and secure defaults.",Reference Textbook,19
DOC098,Public Key Infrastructure,Cybersecurity,"A public key infrastructure issues, distributes and revokes certificates through certificate authorities so that parties can trust one another's public keys.",Survey Paper,21
DOC099,Security Auditing and Penetration Testing,Cybersecurity,"Penetration testing simulates an attacker to find exploitable weaknesses, while auditing verifies that controls match policy and regulatory requirements.",Technical Manual,19
DOC100,Privacy and Data Protection,Cybersecurity,"Data protection combines anonymisation, minimisation, encryption and consent management to limit exposure of personal information.",Course Handout,15
DOC101,Introduction to Data Science,Data Science,"Data science combines statistics, programming and machine learning to extract useful insights from structured and unstructured data.",Lecture Notes,17
DOC102,Exploratory Data Analysis,Data Science,"Exploratory analysis summarises distributions, correlations and outliers using descriptive statistics and visualisation before any model is fitted.",Reference Textbook,17
DOC103,Data Cleaning and Preprocessing,Data Science,"Cleaning handles missing values, duplicates, inconsistent units and encoding errors so that downstream analysis is not distorted by data quality problems.",Survey Paper,21
DOC104,Statistical Inference and Hypothesis Testing,Data Science,"Hypothesis testing quantifies whether an observed effect is likely to arise by chance, reporting p-values, confidence intervals and effect sizes.",Technical Manual,20
DOC105,Data Visualization,Data Science,"Effective visualisation chooses encodings that match the data type and the question, revealing trends, comparisons and distributions without distorting scale.",Course Handout,20
DOC106,Dimensionality Reduction,Data Science,"Principal component analysis, t-SNE and UMAP project high dimensional data into fewer dimensions for visualisation, denoising or faster computation.",Lecture Notes,19
DOC107,Time Series Analysis,Data Science,"Time series methods model trend, seasonality and autocorrelation with techniques such as ARIMA, exponential smoothing and sequence neural networks.",Reference Textbook,19
DOC108,Big Data Processing Frameworks,Data Science,Distributed frameworks such as Hadoop and Spark partition data across a cluster and execute parallel transformations over the partitions.,Survey Paper,19
DOC109,Recommendation Systems,Data Science,"Recommenders combine collaborative filtering, content based similarity and embeddings to suggest items a user is likely to find relevant.",Technical Manual,19
DOC110,Experimentation and A/B Testing,Data Science,"A/B testing randomly assigns users to variants and compares a target metric, requiring sufficient sample size and careful handling of multiple comparisons.",Course Handout,22
DOC111,Introduction to Blockchain Technology,Blockchain,"A blockchain is an append only ledger replicated across many nodes, where blocks of transactions are linked by cryptographic hashes to make tampering detectable.",Lecture Notes,24
DOC112,Distributed Ledger and Consensus,Blockchain,"Consensus protocols such as proof of work, proof of stake and practical byzantine fault tolerance let mutually distrusting nodes agree on a single ledger state.",Reference Textbook,25
DOC113,Smart Contracts,Blockchain,"Smart contracts are programs stored on a blockchain that execute automatically when conditions are met, with their results recorded on the shared ledger.",Survey Paper,23
DOC114,Cryptographic Hashing in Blockchain,Blockchain,"Each block stores the hash of its predecessor and a Merkle root of its transactions, so any modification invalidates every subsequent block.",Technical Manual,22
DOC115,Public and Private Blockchains,Blockchain,"Public chains allow anyone to join and validate, while permissioned chains restrict participation to known members and favour throughput over open access.",Course Handout,22
DOC116,Cryptocurrency and Digital Wallets,Blockchain,"A wallet stores private keys that authorise transfers, and the network verifies signatures before including a transaction in a block.",Lecture Notes,20
DOC117,Blockchain Scalability Solutions,Blockchain,"Sharding, payment channels and rollups increase throughput by moving work off the main chain while still anchoring final state to it.",Reference Textbook,21
DOC118,Blockchain in Supply Chain,Blockchain,Recording custody events on a shared ledger gives supply chain participants a tamper evident audit trail of provenance and handling.,Survey Paper,20
DOC119,Security Issues in Blockchain,Blockchain,"Majority attacks, smart contract bugs, key theft and front running are the main practical risks in blockchain deployments.",Technical Manual,18
DOC120,Decentralized Applications,Blockchain,Decentralised applications combine smart contracts on chain with off chain interfaces and storage to deliver services without a central operator.,Course Handout,20
DOC121,Introduction to Distributed Systems,Distributed Systems,A distributed system is a collection of independent computers that appears to its users as a single coherent system despite partial failures and network delays.,Lecture Notes,25
DOC122,Distributed Consensus Algorithms,Distributed Systems,Paxos and Raft allow a replicated set of servers to agree on a log of operations even when some members crash or messages are delayed.,Reference Textbook,25
DOC123,CAP Theorem and Consistency Models,Distributed Systems,"The CAP theorem states that a partitioned system must choose between consistency and availability, motivating eventual and causal consistency models.",Survey Paper,20
DOC124,Replication and Fault Tolerance,Distributed Systems,"Replication stores copies of data on several nodes so that service continues after failures, at the cost of keeping replicas synchronised.",Technical Manual,21
DOC125,Remote Procedure Calls and Messaging,Distributed Systems,"Remote procedure calls make a network request look like a local call, while message queues decouple producers from consumers and absorb load spikes.",Course Handout,23
DOC126,Distributed File Systems,Distributed Systems,"Distributed file systems split files into chunks replicated across servers, with a metadata service tracking placement and handling recovery.",Lecture Notes,19
DOC127,Clock Synchronization and Logical Time,Distributed Systems,"Physical clocks drift, so distributed systems use logical clocks and vector timestamps to order events consistently across nodes.",Reference Textbook,18
DOC128,MapReduce Programming Model,Distributed Systems,MapReduce expresses a computation as map and reduce functions that the framework runs in parallel over partitioned data with automatic fault recovery.,Survey Paper,22
DOC129,Microservices Architecture,Distributed Systems,"Microservices split an application into independently deployable services that communicate over the network, improving autonomy but adding operational complexity.",Technical Manual,19
DOC130,Load Balancing in Distributed Systems,Distributed Systems,"Load balancers spread requests across replicas using round robin, least connections or consistent hashing to avoid hotspots and keep latency stable.",Course Handout,21
DOC131,Introduction to Computer Architecture,Computer Architecture,"Computer architecture describes the organisation of processors, memory and interconnects, and the instruction set interface exposed to software.",Lecture Notes,18
DOC132,Instruction Set Architecture,Computer Architecture,"An instruction set defines the operations, registers and addressing modes a processor supports, with RISC and CISC representing different design philosophies.",Reference Textbook,21
DOC133,Pipelining and Hazards,Computer Architecture,"Pipelining overlaps instruction stages to raise throughput, while data, control and structural hazards are resolved with forwarding, stalls and branch prediction.",Survey Paper,21
DOC134,Cache Memory and Hierarchy,Computer Architecture,"Caches exploit temporal and spatial locality, and the memory hierarchy trades capacity against latency from registers through caches to main memory and storage.",Technical Manual,23
DOC135,Memory Organization,Computer Architecture,"Main memory is organised into banks and channels, and interleaving together with burst transfers improves the effective bandwidth seen by the processor.",Course Handout,22
DOC136,Parallel Processing and Multicore,Computer Architecture,"Multicore processors run several threads simultaneously, requiring cache coherence protocols and careful synchronisation to scale performance.",Lecture Notes,16
DOC137,GPU Architecture,Computer Architecture,"Graphics processors devote most of their area to many simple cores executing the same instruction over different data, which suits dense linear algebra workloads.",Reference Textbook,24
DOC138,Instruction Level Parallelism,Computer Architecture,"Superscalar issue, out of order execution and speculation extract parallelism from a single instruction stream without changing the programming model.",Survey Paper,20
DOC139,Input Output Organization,Computer Architecture,"Processors communicate with peripherals through memory mapped registers, interrupts and direct memory access to avoid busy waiting.",Technical Manual,17
DOC140,Performance Measurement and Benchmarking,Computer Architecture,"Performance is evaluated with clock rate, cycles per instruction and benchmark suites, while Amdahl's law bounds the speedup achievable from partial optimisation.",Course Handout,22
DOC141,Introduction to Software Engineering,Software Engineering,"Software engineering applies systematic and measurable approaches to the development, operation and maintenance of software systems.",Lecture Notes,16
DOC142,Software Development Life Cycle,Software Engineering,"The development life cycle moves through requirements, design, implementation, testing, deployment and maintenance, in a waterfall or iterative arrangement.",Reference Textbook,19
DOC143,Agile Methodologies,Software Engineering,"Agile methods such as Scrum and Kanban deliver working software in short iterations, adapting scope through continuous feedback from stakeholders.",Survey Paper,20
DOC144,Requirements Engineering,Software Engineering,"Requirements engineering elicits, analyses, specifies and validates what a system must do, distinguishing functional from quality requirements.",Technical Manual,17
DOC145,Software Design Patterns,Software Engineering,"Design patterns describe reusable solutions to recurring design problems, including creational, structural and behavioural families such as factory, adapter and observer.",Course Handout,21
DOC146,Software Testing Techniques,Software Engineering,"Unit, integration, system and acceptance testing use black box and white box techniques to expose defects before software reaches production.",Lecture Notes,20
DOC147,Version Control and Collaboration,Software Engineering,"Distributed version control tracks changes as commits on branches, letting teams work in parallel and merge their work with a reviewable history.",Reference Textbook,22
DOC148,Continuous Integration and Deployment,Software Engineering,"Continuous integration builds and tests every change automatically, and continuous deployment pipelines release validated builds with minimal manual effort.",Survey Paper,19
DOC149,Software Quality Assurance,Software Engineering,"Quality assurance combines reviews, static analysis, coverage measurement and defect tracking to keep quality visible throughout development.",Technical Manual,17
DOC150,Software Maintenance and Refactoring,Software Engineering,"Maintenance covers corrective, adaptive and perfective changes, while refactoring restructures code without altering behaviour to reduce technical debt.",Course Handout,18
